|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 1|2|0.036|15|5.97|290.27937122652577|16.2547604369277
Generation 2|1|0.06|19|6.45|290.27937122652577|24.048845238324034
Generation 3|2|0.062|600|7.888|826927.4625760058|1717.4411999072524
Generation 4|1|0.054|100|6.904|18198.008586099826|67.83647169511931
Generation 5|1|0.042|100|7.1|18198.008586099826|73.69813004458011
Generation 6|1|0.05|100|7.188|18198.008586099826|73.87700004706466
Generation 7|2|0.054|100|7.526|18198.008586099826|115.76771672360248
Generation 8|1|0.058|100|7.73|18198.008586099826|151.09632702494338
Generation 9|2|0.07|100|7.86|18198.008586099826|188.3613292692724
Generation 10|1|0.07|100|8.45|18198.008586099826|237.52589357553913
Generation 11|2|0.134|100|11.898|18198.008586099826|335.66086782996894
Generation 12|3|0.102|100|13.312|18198.008586099826|600.2624283827662
Generation 13|2|0.08|100|17.982|18198.008586099826|1570.3592600045858
Generation 14|1|0.058|100|42.086|18198.008586099826|6687.098220144717
Generation 15|1|0.038|100|57.34|18198.008586099826|9725.068962782987
Generation 16|2|0.076|100|61.184|18198.008586099826|10546.932924225985
Generation 17|1|0.048|100|55.978|18198.008586099826|9592.335456194614
Generation 18|1|0.048|100|56.722|18198.008586099826|9706.585891641449
Generation 19|2|0.06|100|58.454|18198.008586099826|10096.9047227333
Generation 20|2|0.044|100|59.752|18198.008586099826|10321.820521482921
Generation 21|2|0.056|100|63.612|18198.008586099826|11080.804094049608
Generation 22|2|0.04|100|61.934|18198.008586099826|10753.372150220275
Generation 23|1|0.038|100|68.368|18198.008586099826|11960.399396597611
Generation 24|1|0.042|100|68.09|18198.008586099826|11952.343186448297
Generation 25|2|0.03|100|76.024|18198.008586099826|13513.131421549915
Generation 26|1|0.034|100|75.602|18198.008586099826|13438.521116408143
Generation 27|1|0.044|100|75.02|18198.008586099826|13296.220308882033
Generation 28|1|0.036|100|71.586|18198.008586099826|12640.415174811336
Generation 29|2|0.046|100|74.94|18198.008586099826|13294.400361859727
Generation 30|2|0.052|100|75.454|18198.008586099826|13368.585050181948
Generation 31|2|0.038|100|77.43|18198.008586099826|13768.659185118622
Generation 32|1|0.05|100|78.892|18198.008586099826|14057.100519969703
Generation 33|1|0.048|100|74.572|18198.008586099826|13220.856961822003
Generation 34|2|0.024|100|78.95|18198.008586099826|14059.24711640584
Generation 35|1|0.046|100|78.298|18198.008586099826|13948.12966661158
Generation 36|1|0.048|100|77.56|18198.008586099826|13802.40756446224
Generation 37|2|0.054|100|72.432|18198.008586099826|12786.465450678697
Generation 38|1|0.04|100|74.572|18198.008586099826|13221.446876119922
Generation 39|2|0.03|100|80.262|18198.008586099826|14346.862705038238
Generation 40|1|0.04|600|78.176|826927.4625760058|15348.152258747265
Generation 41|2|0.032|100|75.622|18198.008586099826|13438.705803300802
Generation 42|1|0.028|600|77.164|826927.4625760058|15132.457829111132
Generation 43|1|0.038|600|78.024|826927.4625760058|16746.335860074123
