|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 1|2|0.054|100|6.87|2149.988999664993|37.071486301598924
Generation 2|1|0.086|23|7.11|513.8967170165362|50.93562647616703
Generation 3|2|0.114|100|7.98|2149.988999664993|77.18105263795235
Generation 4|2|0.078|100|7.96|2149.986294709256|54.60491777926142
Generation 5|2|0.118|100|9.454|2149.913226044195|78.17537928316467
Generation 6|2|0.132|150|10.274|2149.988999664993|78.87219405566374
Generation 7|2|0.166|150|11.66|2149.988999664993|112.74540945133332
Generation 8|2|0.174|150|14.472|2149.475941242983|106.79790760382235
Generation 9|3|0.182|200|16.37|5012.820007417454|119.5373687159231
Generation 10|2|0.174|200|20.272|2149.739062976162|113.21339152286617
Generation 11|2|0.138|150|16.938|2149.475941242983|88.82462925361472
Generation 12|2|0.12|150|16.926|2149.739062976162|84.42446221356103
Generation 13|2|0.234|150|29.844|2149.313421433475|144.94435368140824
Generation 14|3|0.19|200|24.426|5002.87038813432|126.81434507194352
Generation 15|2|0.178|150|24.854|2149.1313553086493|114.73879041578816
Generation 16|2|0.21|200|25.058|2148.4748409618246|133.7775599201829
Generation 17|2|0.224|200|29.674|2149.6181160598485|149.59581813995578
Generation 18|2|0.19|200|24.94|2149.475941242983|118.81674435146752
Generation 19|3|0.256|200|32.722|5026.256363523016|165.8531271972861
Generation 20|2|0.238|200|29.566|2149.739062976162|160.3781973225482
Generation 21|3|0.232|200|23.524|5013.96180892374|164.4359136562546
Generation 22|3|0.314|200|30.148|5019.2877281163765|234.8467285390863
Generation 23|2|0.3|200|25.886|2149.964098556101|204.26708314505342
Generation 24|3|0.314|200|27.238|4991.636817222043|216.04312603901997
Generation 25|4|0.296|200|27.052|9192.68633409604|212.6321569761753
Generation 26|3|0.29|250|26.09|4472.966894755274|197.5649204449082
Generation 27|5|0.298|150|24.128|14469.241065683293|210.73803655139287
Generation 28|3|0.238|200|22.75|4972.746513369417|172.41588044101755
Generation 29|3|0.242|200|20.568|5015.079034242259|160.6839809423633
Generation 30|2|0.228|200|21.954|2149.9540739565236|154.89464728037657
Generation 31|3|0.22|250|22.056|5022.147118486193|153.66588038967032
Generation 32|3|0.24|200|22.518|4991.636817222043|175.94840864657314
Generation 33|3|0.274|200|22.002|5023.896182881493|208.08355534135427
Generation 34|4|0.282|200|22.574|9152.058471905439|221.7291592936966
Generation 35|3|0.252|200|26.096|5008.019294011269|188.5602738841863
Generation 36|3|0.292|250|31.414|5024.719635813122|224.43399279940195
Generation 37|3|0.31|200|27.492|5010.465200741229|228.22476720042363
Generation 38|3|0.314|250|27.178|5023.038198361497|224.3872931975101
Generation 39|3|0.298|250|32.402|5016.170998995946|232.31895082838494
Generation 40|3|0.29|200|29.916|5012.820007417454|210.81024231114986
Generation 41|3|0.258|200|22.766|5016.170998995946|201.33076183269824
Generation 42|2|0.31|200|26.052|2149.8377997990897|210.18716628773592
Generation 43|2|0.296|200|21.288|2149.988999664993|208.5822586418025
Generation 44|4|0.33|300|29.044|8059.9752149014275|231.7569941968082
Generation 45|4|0.286|200|33.966|9117.483225305838|213.78559898166495
Generation 46|3|0.342|200|39.974|5021.224242470099|264.44135109000445
Generation 47|3|0.3|200|29.24|5008.019294011269|204.38577416181957
Generation 48|3|0.336|200|42.156|4998.797540520454|246.95006452916522
Generation 49|4|0.41|200|28.0|9137.840909256109|309.85066023516924
Generation 50|3|0.384|250|34.608|5011.6542707371345|311.655965072358
Generation 51|5|0.354|250|38.452|14613.600480669787|303.47324870546134
Generation 52|3|0.336|200|30.868|5019.2877281163765|256.9315507448752
Generation 53|3|0.29|200|25.514|5021.224242470099|223.00677486277618
Generation 54|4|0.338|200|30.844|9087.188574973703|288.8484212892283
Generation 55|3|0.402|200|33.882|5020.270752177687|310.47268340392634
Generation 56|4|0.34|250|28.148|9165.258404742544|286.21932662830034
Generation 57|3|0.394|200|24.728|5011.6542707371345|316.9181065458105
Generation 58|3|0.362|200|25.162|5017.2369705907395|283.2097387962602
Generation 59|3|0.33|200|28.474|4953.574500304492|261.81561648953715
Generation 60|4|0.388|300|30.36|9177.295955565198|343.6156298585521
Generation 61|4|0.42|200|30.41|9184.57636729794|347.80225426128357
Generation 62|4|0.372|300|36.232|9140.276263629541|341.36082716082524
Generation 63|4|0.42|250|42.362|9019.822949816014|369.8282411545023
Generation 64|4|0.342|200|40.528|9182.817455976632|301.630560023423
Generation 65|3|0.422|200|44.406|5025.506959415782|344.67961022800773
Generation 66|4|0.42|200|45.304|9130.385131428657|364.08900339111034
Generation 67|3|0.45|250|44.74|5017.2369705907395|386.0062770366646
Generation 68|4|0.432|200|54.686|9130.385131428657|360.64973894078935
Generation 69|2|0.456|200|52.096|2149.9540739565236|357.66076759980984
Generation 70|6|0.488|250|47.422|21113.304200963878|453.73924426877477
Generation 71|3|0.466|200|53.868|5013.96180892374|392.3872568152642
Generation 72|3|0.42|200|48.344|5016.170998995946|336.337036384853
Generation 73|3|0.396|200|40.054|5015.079034242259|309.56215457031294
Generation 74|4|0.448|150|43.7|9023.06019957524|413.7240071804351
Generation 75|3|0.384|200|42.296|5009.253363800625|319.446799511511
Generation 76|5|0.428|200|40.946|14317.048969582076|399.0469852895092
Generation 77|4|0.406|200|47.848|9098.49267033552|380.077685584114
Generation 78|4|0.446|250|43.634|9117.483225305838|397.15684290041276
Generation 79|4|0.482|200|39.552|9154.332481055757|414.0623757628837
Generation 80|4|0.54|200|33.752|9142.685946958687|465.5581999109712
Generation 81|4|0.452|200|34.26|9057.604428430363|385.3454426419227
Generation 82|4|0.376|300|35.806|9140.276263629541|339.65206711934576
Generation 83|4|0.45|250|35.81|9145.069500149822|421.18953058896034
Generation 84|4|0.384|200|32.236|9120.109479625953|342.4218713980274
Generation 85|5|0.476|250|34.912|14347.00404474261|444.2552816193775
Generation 86|4|0.476|300|41.396|9140.276263629541|471.7603255663985
Generation 87|5|0.524|250|43.572|14423.763556063996|525.5485182848505
Generation 88|4|0.51|250|40.128|9140.276263629541|493.1306025268727
Generation 89|4|0.554|250|40.858|9160.97945753794|587.4015546178762
Generation 90|7|0.61|250|42.512|29225.054078248253|689.813244776316
Generation 91|5|0.6|200|41.112|14580.766782771341|555.1488735432815
Generation 92|5|0.678|250|41.476|14576.969279361287|741.0924041771516
Generation 93|6|0.566|400|45.622|18578.087267153573|649.9144739866182
Generation 94|5|0.57|300|45.862|14525.15387780646|659.5680563966783
Generation 95|5|0.59|250|37.68|14478.08784515197|650.8769803815486
Generation 96|7|0.672|250|48.306|29640.4691435147|877.2658563832149
Generation 97|6|0.714|300|48.526|21194.553769037786|918.3964602850945
Generation 98|5|0.728|350|61.856|14478.08784515197|809.5683193394351
Generation 99|6|0.706|250|51.846|21182.30466879404|918.8227879375976
Generation 100|7|0.832|250|60.904|28980.419771663233|1077.4867062458536
Generation 101|7|0.822|350|64.598|29713.32820052496|1188.0165973206415
Generation 102|7|0.79|300|64.074|28954.06156724563|1064.4151650074964
Generation 103|7|0.822|300|70.57|28873.885364412552|1182.1641752126352
Generation 104|7|0.96|350|80.416|29520.384337564796|1420.9115657566756
Generation 105|8|1.09|400|77.624|38793.12264737479|1901.6281641012506
Generation 106|9|0.994|350|89.9|49421.82064438338|1560.8604143065527
Generation 107|8|0.988|450|83.486|38590.766022591924|1477.0932427047385
Generation 108|8|0.908|350|72.394|38549.06408295986|1373.2181117019866
Generation 109|10|0.996|350|84.486|62227.58693842927|1514.735527172215
Generation 110|6|0.81|350|83.182|21305.968545999494|1093.9374214235258
Generation 111|9|1.156|550|89.198|43102.388651957845|1999.78584036669
Generation 112|8|0.932|350|84.424|38975.046061768066|1451.013792412681
Generation 113|10|1.106|500|84.974|60995.55666636658|2004.4189376231654
Generation 114|9|1.124|400|88.278|49095.25435389617|2135.0183770600756
Generation 115|9|1.218|450|87.484|50047.29177539764|2305.2411377501226
Generation 116|10|1.21|450|86.162|61529.19631454092|2528.4163305442676
Generation 117|10|1.308|450|89.9|60945.812105926874|2762.4280726256798
Generation 118|11|1.364|550|94.398|77431.34611639062|2819.2348909851557
Generation 119|10|1.314|550|102.4|61497.58734731706|2690.3515060669465
Generation 120|10|1.366|550|107.932|61481.74623758396|2831.8866198695173
Generation 121|10|1.646|550|116.384|62213.0239347392|4122.71812048202
Generation 122|11|1.638|550|121.42|75892.21715818287|4053.598951306196
Generation 123|10|1.648|550|122.378|62213.0239347392|4066.8307967216138
Generation 124|10|1.52|550|108.268|62889.36492536375|4049.412374932419
Generation 125|12|1.554|550|110.718|92287.77049566721|4078.1825928240632
Generation 126|10|1.684|550|108.71|62636.583071738416|4430.209082319485
Generation 127|10|1.602|550|106.946|62183.810429968165|4104.299616612916
Generation 128|11|1.854|550|112.712|76357.4297608616|5358.6517785718725
Generation 129|10|1.748|550|113.854|62021.0919186776|4521.841813519999
Generation 130|11|1.856|550|106.874|75409.32267755333|5594.499581586813
Generation 131|10|1.642|550|103.424|62771.231606039364|4402.747904627791
Generation 132|9|1.602|550|109.648|50013.43787040474|3899.9939876937638
Generation 133|10|1.92|550|116.178|62650.203027803414|5317.123287220293
Generation 134|11|1.85|550|124.498|77034.74294477531|4875.785412163275
Generation 135|11|1.668|550|107.234|76514.05980067582|4093.9737547260625
Generation 136|12|2.012|550|129.094|94662.9058216891|5348.739350111302
Generation 137|10|1.922|550|106.744|62863.371273695935|5964.452379706983
Generation 138|10|1.772|550|99.33|62314.344296722425|4801.961755083529
Generation 139|11|1.796|550|108.408|75873.96193186592|5107.282217701387
Generation 140|13|1.968|550|103.194|113779.67379910262|5798.757147689435
Generation 141|13|2.362|550|115.454|113096.81420485907|7704.283621127642
Generation 142|11|2.556|550|129.622|77211.9782354305|8407.002590719108
Generation 143|12|2.594|550|129.436|94344.25417273933|8181.391228177503
Generation 144|11|2.478|550|110.754|76985.69414172442|8641.324034567628
Generation 145|13|2.582|550|133.042|113934.87977636784|8690.328580989359
Generation 146|11|2.902|550|130.978|77034.74294477531|9898.706426142942
Generation 147|12|2.416|550|131.836|93651.70615114043|7921.030266071543
Generation 148|12|2.06|550|116.188|92645.96699520816|6147.313382120986
Generation 149|11|2.322|550|124.982|76548.54507834904|7016.454579577887
Generation 150|11|2.11|550|103.986|76357.4297608616|6189.538911608927
Generation 151|11|2.258|550|117.284|77131.93232186139|7158.0013313223
Generation 152|11|2.456|600|123.568|77338.20915721005|7966.1603550945665
Generation 153|14|2.516|550|118.098|140199.01299687073|7997.554769420635
Generation 154|13|2.582|600|127.794|113555.18467925652|8434.415298849892
Generation 155|11|2.81|550|133.07|77164.05510154457|9247.22524902292
Generation 156|12|2.562|550|118.338|92116.56177095987|8491.765834354886
Generation 157|13|2.476|550|125.064|113555.18467925652|7996.325869457044
Generation 158|13|2.562|550|128.846|113690.26405123861|8469.608602471997
Generation 159|12|2.318|550|116.112|93574.05407231426|7278.54578684324
Generation 160|12|2.564|550|121.35|93786.3423749423|8406.659293200992
Generation 161|13|2.582|550|133.894|112047.3353196996|8309.912969972247
Generation 162|11|2.308|600|122.756|77643.28287011676|7074.093052155277
Generation 163|11|2.46|550|124.91|76786.56380805568|8187.687121679228
Generation 164|13|2.244|550|116.172|113509.90420358293|6793.910392629175
Generation 165|12|2.13|550|112.82|92625.1130773161|6179.943166620596
Generation 166|11|2.112|550|105.564|77180.06445070007|6421.903817552142
Generation 167|11|2.196|550|116.004|77538.27927696548|6851.853556984907
Generation 168|10|2.258|550|112.206|62690.85838738821|7151.666780693306
Generation 169|12|2.624|550|126.24|94253.51683534576|8986.137541416667
Generation 170|13|2.458|550|119.304|114747.76834673717|8531.089729205485
Generation 171|11|2.724|550|122.476|77672.91837603682|9679.02293806861
Generation 172|13|3.002|550|127.716|115053.77024774432|11563.801089541064
Generation 173|14|2.996|550|132.134|140053.37396236276|11166.190144522849
Generation 174|11|2.694|550|122.28|77275.38136552175|9366.314001506615
Generation 175|13|2.588|550|119.976|114622.90966339827|8498.101970573225
