|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 1|2|0.048|100|6.12|2149.6550881716457|33.36675973717307
Generation 2|1|0.052|100|6.604|513.8967170165362|33.528025859667075
Generation 3|2|0.062|600|9.384|2149.964098556101|45.462083614370066
Generation 4|2|0.072|600|8.088|2149.9540739565236|48.198077808118065
Generation 5|2|0.062|600|8.112|2149.476355007297|43.27909955457033
Generation 6|2|0.056|100|7.348|2149.6181160598485|38.52629340682443
Generation 7|2|0.068|14|7.794|2149.9540739565236|44.96019975138348
Generation 8|3|0.064|100|8.518|5023.896182881493|48.4344251974341
Generation 9|2|0.078|100|8.552|2149.988999664993|52.96454571684177
Generation 10|2|0.072|17|8.888|2149.988999664993|57.145198749475796
Generation 11|3|0.098|20|8.73|5026.96582588445|67.81656459333215
Generation 12|2|0.072|100|9.062|2149.913226044195|48.17978627433131
Generation 13|2|0.084|100|9.448|2149.988999664993|56.79506142392729
Generation 14|2|0.074|100|9.442|2149.988999664993|54.06076839307083
Generation 15|2|0.088|20|9.236|2149.988999664993|60.83625293018181
Generation 16|2|0.078|21|9.568|2149.988999664993|56.17780975691869
Generation 17|2|0.114|21|10.17|2149.475941242983|70.08388591710136
Generation 18|2|0.09|100|10.78|2149.988999664993|63.267872664032346
Generation 19|2|0.106|21|10.88|2149.988999664993|75.88264346524237
Generation 20|2|0.126|20|10.904|2149.988999664993|90.41977289604361
Generation 21|3|0.12|20|10.986|5025.506959415782|96.85723375343007
Generation 22|3|0.112|21|11.022|5025.506959415782|83.76687878904147
Generation 23|2|0.114|20|11.03|2149.988999664993|84.54575263795222
Generation 24|3|0.102|20|10.954|5025.506959415782|74.14708674695432
Generation 25|2|0.094|21|10.896|2149.988999664993|67.72177331476533
Generation 26|2|0.094|20|10.9|2149.964098556101|65.41623874932662
Generation 27|2|0.074|20|10.812|2149.988999664993|50.858077072213256
Generation 28|2|0.094|21|11.25|2148.9304694062257|61.120726362681594
Generation 29|2|0.102|21|11.188|2149.964098556101|65.0366390771038
Generation 30|2|0.126|20|11.032|2149.988999664993|88.25659865450703
Generation 31|2|0.092|20|11.084|2149.8377997990897|62.30401999152369
Generation 32|2|0.1|20|10.944|2149.988999664993|68.41725639748094
Generation 33|2|0.114|20|11.142|2149.964098556101|75.51373906023832
Generation 34|4|0.132|20|11.17|9182.817455976632|110.24844940967454
Generation 35|2|0.128|20|11.218|2149.988999664993|82.60533285541905
Generation 36|2|0.122|20|11.27|2149.988999664993|88.77130434053765
Generation 37|2|0.126|21|10.946|2149.988999664993|83.55481832325663
Generation 38|3|0.128|21|11.198|5026.96582588445|91.84365097535792
Generation 39|2|0.112|21|11.27|2149.8377997990897|72.38629734290342
Generation 40|3|0.116|20|11.0|5027.633040365744|85.73720689851493
Generation 41|2|0.116|20|11.14|2149.988999664993|81.09284752250971
Generation 42|2|0.102|20|10.974|2149.988999664993|67.20996810462626
Generation 43|2|0.098|21|10.866|2149.986294709256|67.36348081934415
Generation 44|2|0.09|21|11.388|2149.475941242983|66.12303376183404
Generation 45|3|0.162|21|11.278|5024.719635813122|122.55539379701935
Generation 46|3|0.124|21|11.156|5020.270752177687|85.2905375027793
Generation 47|2|0.11|21|10.888|2149.964098556101|68.8166998854355
Generation 48|3|0.116|21|11.47|5020.270752177687|81.58577828973516
Generation 49|2|0.1|21|11.374|2149.964098556101|66.56976452185422
Generation 50|2|0.084|21|11.322|2149.964098556101|58.609197131248
Generation 51|2|0.08|21|11.246|2149.9540739565236|56.494751436347755
Generation 52|2|0.092|20|11.002|2149.988999664993|66.79092487606087
Generation 53|2|0.11|20|10.504|2149.988999664993|77.5389128582472
Generation 54|2|0.102|21|10.364|2149.890070823094|71.13765916194264
Generation 55|2|0.082|20|10.27|2149.964098556101|58.86052192249276
Generation 56|1|0.074|21|9.82|514.3660984058746|47.578210713027254
Generation 57|1|0.088|21|10.046|514.3660984058746|54.71755645062092
Generation 58|2|0.104|20|9.968|2149.890070823094|64.92998671842267
Generation 59|2|0.092|21|10.518|2148.71142795583|59.4616912022193
Generation 60|2|0.104|21|10.254|2149.476355007297|67.43358356269144
Generation 61|2|0.098|21|10.372|2149.988999664993|64.56606665135189
Generation 62|1|0.076|21|10.3|514.3660984058746|49.01243762212375
Generation 63|2|0.112|21|10.314|2149.988999664993|76.05174905539695
Generation 64|2|0.124|21|10.928|2148.9304694062257|77.97305426139391
Generation 65|2|0.13|21|11.23|2149.988999664993|85.83353075584147
Generation 66|2|0.116|20|11.208|2149.988999664993|78.8635786839041
