|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 1|2|0.052|12|6.09|2149.79154254127|35.30953388964719
Generation 2|1|0.074|100|6.372|513.4194329659408|44.28109539828087
Generation 3|1|0.056|17|6.272|512.4399732688559|35.19957990012599
Generation 4|3|0.066|15|6.46|5027.633040365744|49.725141325688426
Generation 5|2|0.05|100|6.864|2149.986294709256|35.079969104356
Generation 6|1|0.048|100|7.04|509.8288324890523|31.976252412619505
Generation 7|2|0.048|100|6.73|2149.6550881716457|33.962250873425454
Generation 8|1|0.05|100|6.81|510.37141366045626|32.740705250193415
Generation 9|2|0.044|100|7.096|2149.476355007297|32.3194325032819
Generation 10|2|0.088|100|7.216|2149.988999664993|56.661092524058716
Generation 11|2|0.056|100|7.094|2149.8377997990897|40.59045612517417
Generation 12|1|0.052|100|7.118|509.8288324890523|34.03823271797929
Generation 13|2|0.084|17|7.006|2149.988999664993|56.747573670651455
Generation 14|1|0.056|17|7.124|511.42505421866946|36.03107207623334
Generation 15|2|0.066|15|7.542|2149.476355007297|43.72437306661483
Generation 16|1|0.06|15|8.39|511.42505421866946|39.277883103366634
Generation 17|2|0.084|100|8.868|2149.964098556101|58.540936394925595
Generation 18|2|0.076|15|8.842|2149.988999664993|54.534267599195545
Generation 19|2|0.076|100|9.734|2149.9540739565236|50.84436138493733
Generation 20|2|0.08|100|9.988|2149.739062976162|55.33746066469456
Generation 21|2|0.078|100|10.464|2149.964098556101|52.54254534050955
Generation 22|2|0.1|100|10.618|2149.988999664993|68.23012009753236
Generation 23|2|0.114|600|12.398|2149.988999664993|73.35117753151577
Generation 24|2|0.11|100|10.39|2149.964098556101|72.93828313059863
Generation 25|2|0.096|19|10.482|2149.988999664993|68.34137266573339
Generation 26|1|0.088|100|10.914|511.42505421866946|55.69776359986889
Generation 27|3|0.108|100|10.92|5026.96582588445|79.50545074472387
Generation 28|2|0.116|15|10.632|2149.988999664993|76.18523804693478
Generation 29|3|0.116|100|11.146|5026.96582588445|79.13764999515186
Generation 30|2|0.106|15|10.948|2149.988999664993|69.19213431207068
Generation 31|2|0.102|21|11.302|2149.913226044195|65.26515000532612
Generation 32|2|0.09|15|11.364|2149.988999664993|63.94060105797805
Generation 33|1|0.088|15|11.636|511.42505421866946|56.36820326402057
Generation 34|2|0.106|15|11.71|2149.988999664993|69.95159258126657
Generation 35|2|0.114|100|11.892|2149.988999664993|76.39278472256872
Generation 36|2|0.114|21|11.48|2149.986294709256|73.69913321869558
Generation 37|2|0.122|100|11.466|2149.988999664993|89.0687492643283
Generation 38|2|0.108|100|11.776|2149.739062976162|73.26482761117741
Generation 39|2|0.096|18|11.57|2149.964098556101|71.69400003102008
